id,name,address,street,city,state,zip,latitude,longitude,court_count,lighted,hitting_wall,pickleball_lined,indoor_outdoor,managed_by,reservation_policy,contact_phone,booking_url,court_level_booking_url,hours,description,notes,category,status
15,Green Lake Park West,"Green Lake Park7201 E Green Lake Dr N, Seattle, WA 98115",Green Lake Park7201 E Green Lake Dr N,Seattle,WA,98115,,,2,False,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4076,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=10,,,"Greenlake Park West has 2 courts. The courts are more secluded, located along West Green Lake Dr N. There is a parking lot directly to the west of the courts and The Bathhouse Theater building to the west of the parking lot.",,public_park,active
16,Hiawatha Playfield,"2700 SW California Ave SW, Seattle, WA 98116",2700 SW California Ave SW,Seattle,WA,98116,,,3,True,True,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=147,,,Hiawatha Playfield has 3 lighted courts located in the NC area of the park. There is a Playground and wading pool to in the NE corner of the park and a park area in the NW corner. There is a Community Center located in the CE part of the park to the E of the ballfield.,,public_park,active
17,Ingraham High School Athletics Complex,"1819 N 135th St, Seattle, WA 98133",1819 N 135th St,Seattle,WA,98133,,,3,False,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=159,,,"Ingraham High School Courts are located along the south side of the school, with the entrance along Ashworth Ave N. This court is lined for tennis only. Pickleball or other alternate activities must be approved by SPS and SPR staff. All Seattle Public School Courts are closed to the general public until 4PM during the school year.",,public_park,active
18,Jefferson Park (previously Lid Playfield,")3901 Beacon Ave S, Seattle, WA 98108",)3901 Beacon Ave S,Seattle,WA,98108,,,4,True,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=271,,,"Jefferson Park features 4 popular, lighted courts, located off of Beacon Ave S, just north of the Jefferson Community Center. For more information, call the Tennis Center at (206) 684-4764.",,public_park,active
19,Laurelhurst Playfield,"4544 NE 41st St, Seattle, WA 98105",4544 NE 41st St,Seattle,WA,98105,,,4,True,True,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=372,,,"Laurelhurst Playfield features 4 lighted tennis courts, just west of the Community Center on NE 41st St. There is a hitting wall located behind the 4 courts. These courts are lighted from the first week of March through the first week in November. For more information, call the Tennis Center at (206) 684-4764.",,public_park,active
20,Lower Woodland Playfield,"5773 West Green Lake Way N, Seattle, WA 98103",5773 West Green Lake Way N,Seattle,WA,98103,,,10,True,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4077,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=13,,,"Lower Woodland Park has 10 very popular lighted courts. There is a parking area to the E of the courts. To the NW of the courts is a large off-leash dog park. The large playfield is to the E and SE of these courts. Green Lake is to the N of these courts. The Seattle City Open is held here every summer. For more information, call the Tennis Center at (206) 684-4764.",,public_park,active
21,Madison Park,"E Madison St & E Howe St, Seattle, WA 98112",E Madison St & E Howe St,Seattle,WA,98112,,,2,True,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4081,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=427,,,Madison Park has 2 lighted courts (Mar-Oct) located on 42nd Ave E and E Blaine St. They are walking distance from the beach,,public_park,active
22,Madrona Playground,"3211 E Spring St, Seattle, WA 98122",3211 E Spring St,Seattle,WA,98122,,,2,True,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4081,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=449,,,Madrona Playground has 2 lighted tennis courts (Mar-Oct) located on 33rd Ave and E Spring St,,public_park,active
23,Magnolia Park,"1461 Magnolia Blvd W, Seattle, WA 98199",1461 Magnolia Blvd W,Seattle,WA,98199,,,2,False,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4081,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=454,,,Magnolia Park features 2 courts on the corner of Magnolia Blvd W and W Howe St,,public_park,active
24,Magnolia Playfield,"2518 W 34th W, Seattle, WA 98199",2518 W 34th W,Seattle,WA,98199,,,4,False,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=455,,,"Magnolia Playfield has 4 courts located off of W Smith St and 34th Ave W, just south of Magnolia Community Center.",,public_park,active
25,Meadowbrook Playfield,"10533 35th Ave NE, Seattle, WA 98125",10533 35th Ave NE,Seattle,WA,98125,,,6,True,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=295,,,"Meadowbrook Playfield features 6 lighted courts located off of 30th Ave NE and NE 107th St. There is a large public parking lot next to the courts. For more information, call the Tennis Center at (206) 684-4764.",,public_park,active
26,Miller Playfield,"300 19th Ave E, Seattle, WA 98112",300 19th Ave E,Seattle,WA,98112,,,2,True,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=304,,,"Miller Playfield features 2 lighted tennis courts with pickleball lines, located along E Thomas St and 19th Ave E, just south of the Miller Community Center.",,public_park,active
27,Montlake Playfield,"1618 E Calhoun St, Seattle, WA 98112",1618 E Calhoun St,Seattle,WA,98112,,,2,False,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=307,,,Montlake Playfield has 2 courts located next to the Community Center on E Calhoun St and 16th Ave E,,public_park,active
28,Mount Baker Park,"2521 Lake Park Dr S, Seattle, WA 98144",2521 Lake Park Dr S,Seattle,WA,98144,,,2,True,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4081,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=310,,,"Mount Baker Park has 2 lighted courts (Mar-Oct) on Lake Park Dr S, just north of McClellan St and the playground",,public_park,active
29,Observatory Courts,"1405 Warren Ave N, Seattle, WA 98109",1405 Warren Ave N,Seattle,WA,98109,,,2,False,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=349,,,This small park contains two tennis courts near a firehouse and the old Queen Anne observatory/water tower. Both courts are lined for pickleball play,,public_park,active
30,Rainier Beach Playfield,"8802 Rainier Ave S, Seattle, WA 98118",8802 Rainier Ave S,Seattle,WA,98118,,,4,True,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=407,,,"Rainier Beach Playfield has 4 lighted courts (Mar-Oct) located along S Henderson St, just W of the Community Center and South Shore K-8",,public_park,active
31,Rainier Playfield,"3700 S Alaska St, Seattle, WA 98118",3700 S Alaska St,Seattle,WA,98118,,,4,True,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=410,,,"Rainier Playfield has 4 popular, lighted courts located near Rainier Ave S and S Oregon St. For more information, call the Tennis Center at (206) 684-4764.",,public_park,active
32,Riverview Playfield,"7226 12th Ave SW, Seattle, WA 98106",7226 12th Ave SW,Seattle,WA,98106,,,2,False,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=423,,,Riverview Playfield has 2 courts located along 12th Ave SW. This park borders the West Duwamish Greenbelt,,public_park,active
33,Rogers Playfield,"Rogers (Eastlake) Playfieldeastlake Ave E & E Roanoke St, Seattle, WA 98112",Rogers (Eastlake) Playfieldeastlake Ave E & E Roanoke St,Seattle,WA,98112,,,2,False,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=425,,,Rogers Playfield has 2 courts located along E Roanoke St and Eastlake Ave E,,public_park,active
34,Sam Smith (I90 Lid) Park,"Sam Smith Park (I-90 Lid)1400 Martin Luther King Jr Way S, Seattle, WA 98144",Sam Smith Park (I-90 Lid)1400 Martin Luther King Jr Way S,Seattle,WA,98144,,,2,False,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4081,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=429,,,"Set atop the Mt. Baker Tunnel, Sam Smith Park has 2 courts located in the middle of the park. This park features the I-90 bike trail and a playground",,public_park,active
35,Nino Cantu Southwest Athletic Complex (SWAC) Tennis Courts,"2801 SW Thistle St, Seattle, WA 98126",2801 SW Thistle St,Seattle,WA,98126,,,6,True,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=439,,,"Six tennis courts at the Nino Cantu Southwest Athletic Complex (SWAC), adjacent to Chief Sealth High School. Reserve through Seattle Parks.","⚠️ MERGED: Row 44 'SWAC Tennis Courts' was a duplicate of this complex. Source conflict on lighting and pickleball striping: Seattle Parks reservation description is tennis-focused (historically No lights, No PB), but West Seattle Blog reports pickleball lines were added in 2023 and the complex is actively used. Field-verify both attributes before publishing.",public_park,active
36,Seward Park,"5898 Lake Washington Blvd S, Seattle, WA 98118",5898 Lake Washington Blvd S,Seattle,WA,98118,,,2,False,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4076,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=20,,,"Seward Park has 2 recently resurfaced courts that are located along Lake Washington, just south of the main entrance to the park on Lake Washington Blvd S",,public_park,active
37,Solstice Park,"7400 Fauntleroy Way SW, Seattle, WA 98136",7400 Fauntleroy Way SW,Seattle,WA,98136,,,6,True,True,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4081,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=219,,,"Solstice Park has 6 lighted tennis courts in the SW corner of Solstice Park and across the street from Lincoln Park. Solstice Park is known for rock formations marking the equinox and solstice. Those rock formations are to the E of the tennis courts. There is also a Community Pea Patch to the E of the tennis courts in the middle of the park area. For more information, call the Tennis Center at (206) 684-4764.",,public_park,active
38,Soundview Playfield,"1590 NW 90th St, Seattle, WA 98117",1590 NW 90th St,Seattle,WA,98117,,,2,False,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=230,,,Soundview Playfield has 2 courts located in the W portion of the park. These courts are also lined for Pickleball play,,public_park,active
39,Upper Woodland Park,"1000 N 50th St, Seattle, WA 98103",1000 N 50th St,Seattle,WA,98103,,,4,False,False,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4764,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=Lower%20Woodland%20Playfield%20Upper%20Court&resourceType=0&equipmentQty=0,,,"Commonly known as ""Upper Woodland,"" this area of the park has 4 tennis courts located along N 50th St. The cross street is Midvale Ave N. There is a parking lot near the courts. For more information, call the Tennis Center at (206) 684-4764.",Per Seattle Parks reservation system: 4 tennis courts along N 50th St near Midvale Ave N. Reservation contact is Amy Yee Tennis Center (206) 684-4764.,public_park,active
40,Wallingford Playfield,"4219 Wallingford Ave N, Seattle, WA 98103",4219 Wallingford Ave N,Seattle,WA,98103,,,2,False,True,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=260,,,Wallingford Playfield has 2 tennis courts located along Wallingford Ave N and N 42nd St. Both courts have a hitting wall available,,public_park,active
41,Walt Hundley Playfield,"6920 34th Ave SW, Seattle, WA 98126",6920 34th Ave SW,Seattle,WA,98126,,,2,False,False,True,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4082,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=tennis%20court&resourceType=0&equipmentQty=0&facilityCenterIds=253,,,Walt Hundley Playfield has two courts in the NW corner of the Park. These courts are also lined for pickleball play. High Point CC is to the immediate N of the courts in the far NW corner of the park.,,public_park,active
42,Volunteer Park Tennis Court,"1247 15th Ave E, Seattle, WA 98112",1247 15th Ave E,Seattle,WA,98112,,,4,True,True,False,outdoor,Seattle Parks & Recreation,Reserve through Seattle Parks,(206) 684-4076,https://anc.apm.activecommunities.com/seattle/reservation/search?keyword=Volunteer%20Park%20Court&resourceType=0&equipmentQty=0,,,"Volunteer Park has 4 courts total, and two are lighted tennis courts (lower courts only, Mar-Oct) located in the NW corner of the park, just W of the Conservatory",,public_park,active
43,Sakai park tennis court,"1560 Madison Ave N, Bainbridge Island, WA 98110",1560 Madison Ave N,Bainbridge Island,WA,98110,,,2,False,False,False,outdoor,Bainbridge Island Metro Park & Recreation District,Reserve through Bainbridge Parks,(206) 842-2302,https://anc.apm.activecommunities.com/biparksrec/reservation/landing/search?keyword=sakai%20park%20tennis%20court&eventTypeIds=28,,,Minimum reservation time: 60 mins; Maximum reservation time: 240 mins; Residents/Non-residents can make reservations at least 3 day(s) in advance but not more than 60 day(s) in advance. You need an account to book a court.,Source conflict: Bainbridge Parks general listing may lag the Sakai project; 2-court count confirmed by Bainbridge Review (2025 opening) and BCTA locations. Verify via reservation system or field check before publishing.,public_park,active
44,Eagledale Park,"5055 Rose Ave NE, Bainbridge Island, WA 98110",5055 Rose Ave NE,Bainbridge Island,WA,98110,,,1,False,False,False,outdoor,Bainbridge Island Metro Park & Recreation District,Reserve through Bainbridge Parks,(206) 842-0501,https://anc.apm.activecommunities.com/biparksrec/reservation/landing/search/detail/344,,,Minimum reservation time: 60 mins; Maximum reservation time: 240 mins; Residents/Non-residents can make reservations at least 3 day(s) in advance but not more than 60 day(s) in advance. You need an account to book a court.,,public_park,active
45,Strawberry Hill Park,"7666 NE High School Rd, Bainbridge Island, WA 98110",7666 NE High School Rd,Bainbridge Island,WA,98110,,,2,False,False,False,outdoor,Bainbridge Island Metro Park & Recreation District,Reserve through Bainbridge Parks,(206) 842-0501,https://anc.apm.activecommunities.com/biparksrec/reservation/landing/search/detail/351,,,Minimum reservation time: 60 mins; Maximum reservation time: 240 mins; Residents/Non-residents can make reservations at least 3 day(s) in advance but not more than 60 day(s) in advance. You need an account to book a court.,Per Bainbridge Parks Strawberry Hill page: two tennis courts.,public_park,active
46,Bainbridge Island Recreation Center,"11700 Meadowmeer Cir NE, Bainbridge Island, WA 98110",11700 Meadowmeer Cir NE,Bainbridge Island,WA,98110,,,4,True,False,True,indoor,Bainbridge Island Metro Park & Recreation District,No membership required to book,(206) 842-5661,https://app.courtreserve.com/Online/Reservations/Bookings/8335?sId=12981,,call to book,"To book a tennis court as a non‑member, call 206‑842‑5661 during BIRC front‑desk hours (roughly 5:30 a.m.–9:30 p.m. Mon–Thu, until 8 p.m. Fri, and 6 a.m.–8 p.m. Sat–Sun).",Pickleball Lined=Yes is partial: only 1 of the 4 indoor tennis courts is pickleball-lined (per BIRC official). Other 3 are dedicated tennis.,indoor_facility,active
47,Bainbridge High School Tennis Courts,"9330 High School Rd NE, Bainbridge Island, WA 98110",9330 High School Rd NE,Bainbridge Island,WA,98110,,,6,False,False,False,outdoor,School,"No membership required, first come first play",,,,,"The high school courts are primarily for school use and unavailable during school sessions or team activities.  Public access is on a first-come, first-served basis outside those times, without reservations. They are available after 3:30 PM when tennis season not in session.",,school,active
48,Bobby Morris at Cal Anderson Tennis Court #1,"1600 Nagle Pl, Seattle, WA 98122",1600 Nagle Pl,Seattle,WA,98122,,,1,True,False,False,outdoor,Seattle Parks & Recreation,cannot be reserved,,https://www.seattle.gov/parks/parks/cal-anderson-park,,,,,public_park,active
49,Ravenna-Eckstein Park Tennis Court,"6519 21st Ave NE, Seattle, WA 98115",6519 21st Ave NE,Seattle,WA,98115,,,1,False,False,False,outdoor,Seattle Parks & Recreation,cannot be reserved,,,,,Nice single tennis court.  There is also a wall to practice on which is hard to find in Seattle.,,public_park,active
50,Ravenna Park Tennis Court,"5520 Ravenna Ave NE, Seattle, WA 98105",5520 Ravenna Ave NE,Seattle,WA,98105,,,2,False,True,False,outdoor,Seattle Parks & Recreation,cannot be reserved,,,,,,,public_park,active
51,Kinnear Park Tennis and Pickleball Courts,"899 W Olympic Pl, Seattle, WA 98119",899 W Olympic Pl,Seattle,WA,98119,,,1,False,False,True,outdoor,Seattle Parks & Recreation,cannot be reserved,,,,,"There’s only one court, but it’s surrounded by trees and there’s a bench to wait if the court is taken.",,public_park,active
52,Leschi Park Tennis Court,"201 Lakeside Ave S, Seattle, WA 98122",201 Lakeside Ave S,Seattle,WA,98122,,,1,False,False,False,outdoor,Seattle Parks & Recreation,cannot be reserved,,,,,,,public_park,active
53,South Park Playground Park Tennis court,"738 S Sullivan St, Seattle, WA 98108",738 S Sullivan St,Seattle,WA,98108,,,1,False,False,True,outdoor,Seattle Parks & Recreation,cannot be reserved,,,,,,,public_park,active
54,Victory Heights Playground Tennis Court,"1737 NE 106th St, Seattle, WA 98125",1737 NE 106th St,Seattle,WA,98125,,,1,False,False,False,outdoor,Seattle Parks & Recreation,cannot be reserved,,,,,,,public_park,active
55,Georgetown Playfield Tennis Court,"750 S Homer St, Seattle, WA 98108",750 S Homer St,Seattle,WA,98108,,,1,False,False,True,outdoor,Seattle Parks & Recreation,cannot be reserved,,,,,,,public_park,active
56,University Playground Park Tennis Courts,"4742 7th Ave NE, Seattle, WA 98105",4742 7th Ave NE,Seattle,WA,98105,,,2,False,False,False,outdoor,Seattle Parks & Recreation,cannot be reserved,,,,,,,public_park,active
57,Tennis Center Sand Point,"7135 Sportsfield Dr NE, Seattle, WA 98115",7135 Sportsfield Dr NE,Seattle,WA,98115,,,10,True,False,True,indoor,Club,Membership required,(206) 522-5008,https://tcsp.clubautomation.com,,Mon - Fri: 5:45 AM–11:15 PM; Sat - Sun: 7 AM–10 PM,"TCSP provides ten championship tennis courts available to reserve. Members can reserve a court through their online account, mobile app, in-person, or by phone.",,private_club,active
58,Seattle Tennis Club,"922 McGilvra Blvd E, Seattle, WA 98112",922 McGilvra Blvd E,Seattle,WA,98112,,,19,True,False,False,both,Club,Membership required,(206) 324-3200,https://www.seattletennisclub.org,,Everyday 9AM - 9PM,"Located in the charming neighborhood of Madison Park, Seattle Tennis Club is nestled on the picturesque shores of Lake Washington, boasting panoramic views of downtown Bellevue, the Cascade Mountain Range, and Mount Rainier.",,private_club,active
